z (km),Vp (km/s),Vp_std (km/s),Vs (km/s),Vs_std (km/s),xi,xi_std,phi,phi_std,eta,eta_std
15,8.1763,0.04960,4.6292,0.04720,1.0429,0.0291,0.9826,0.0295,1.0000,0.0299
25,8.1699,0.04960,4.6051,0.03980,1.0613,0.0282,0.9666,0.0283,1.0094,0.0297
35,8.1677,0.04970,4.5947,0.03490,1.0665,0.0279,0.9620,0.0280,1.0176,0.0295
45,8.1618,0.04990,4.6222,0.03690,1.0666,0.0279,0.9712,0.0287,1.0169,0.0296
55,8.0964,0.04990,4.6279,0.03900,1.0660,0.0279,0.9843,0.0292,1.0109,0.0298
65,7.9996,0.05000,4.6022,0.04020,1.0653,0.0280,0.9943,0.0294,1.0050,0.0298
75,7.8641,0.05000,4.5381,0.04130,1.0646,0.0281,1.0001,0.0295,1.0010,0.0298
85,7.7679,0.05000,4.4856,0.04240,1.0640,0.0282,1.0030,0.0296,0.9988,0.0299
95,7.6848,0.05000,4.4345,0.04340,1.0635,0.0283,1.0043,0.0296,0.9977,0.0299
105,7.6178,0.05000,4.3893,0.04410,1.0630,0.0284,1.0047,0.0296,0.9971,0.0299
115,7.5688,0.05000,4.3525,0.04470,1.0623,0.0284,1.0046,0.0296,0.9970,0.0299
125,7.5358,0.05000,4.3239,0.04520,1.0612,0.0285,1.0043,0.0296,0.9971,0.0299
135,7.5188,0.05000,4.3031,0.04560,1.0596,0.0285,1.0038,0.0296,0.9973,0.0299
145,7.5228,0.05000,4.2923,0.04600,1.0575,0.0286,1.0032,0.0296,0.9976,0.0299
155,7.5618,0.05000,4.2997,0.04640,1.0548,0.0288,1.0027,0.0296,0.9980,0.0299
165,7.6018,0.05000,4.3056,0.04670,1.0517,0.0289,1.0021,0.0296,0.9983,0.0299
175,7.6859,0.05000,4.3361,0.04710,1.0482,0.0291,1.0016,0.0297,0.9987,0.0299
185,7.7709,0.05000,4.3655,0.04750,1.0445,0.0292,1.0011,0.0297,0.9990,0.0299
195,7.8569,0.05000,4.3951,0.04780,1.0406,0.0293,1.0007,0.0297,0.9993,0.0299
205,7.9469,0.05000,4.4280,0.04800,1.0367,0.0294,1.0003,0.0297,0.9995,0.0299
215,8.0379,0.05000,4.4603,0.04830,1.0328,0.0295,1.0000,0.0298,0.9998,0.0299
225,8.1069,0.05000,4.4823,0.04850,1.0292,0.0296,0.9997,0.0298,1.0000,0.0299
235,8.1549,0.05000,4.4938,0.04870,1.0257,0.0296,0.9995,0.0298,1.0001,0.0299
245,8.2040,0.05000,4.5059,0.04880,1.0225,0.0297,0.9994,0.0298,1.0003,0.0299
255,8.2390,0.05000,4.5116,0.04890,1.0196,0.0297,0.9992,0.0298,1.0004,0.0299
265,8.2520,0.05000,4.5068,0.04910,1.0170,0.0297,0.9991,0.0298,1.0005,0.0299
275,8.2650,0.05000,4.5025,0.04920,1.0146,0.0298,0.9991,0.0299,1.0005,0.0299
285,8.2780,0.05000,4.4986,0.04930,1.0124,0.0298,0.9991,0.0299,1.0006,0.0299
295,8.3140,0.05000,4.5092,0.04940,1.0106,0.0298,0.9990,0.0299,1.0006,0.0300
305,8.3510,0.05000,4.5190,0.04950,1.0089,0.0298,0.9991,0.0299,1.0006,0.0300
315,8.3870,0.05000,4.5302,0.04960,1.0075,0.0299,0.9991,0.0299,1.0006,0.0300
325,8.4420,0.05000,4.5507,0.04960,1.0062,0.0299,0.9991,0.0299,1.0006,0.0300
335,8.5260,0.05000,4.5884,0.04970,1.0052,0.0299,0.9992,0.0300,1.0005,0.0300
345,8.6100,0.05000,4.6263,0.04980,1.0043,0.0299,0.9992,0.0300,1.0005,0.0300
355,8.6940,0.05000,4.6634,0.04980,1.0036,0.0299,0.9993,0.0300,1.0005,0.0300
365,8.7840,0.05000,4.7047,0.04980,1.0029,0.0299,0.9994,0.0300,1.0004,0.0300
375,8.8800,0.05000,4.7491,0.04990,1.0024,0.0299,0.9994,0.0300,1.0004,0.0300
385,8.9760,0.05000,4.7936,0.04990,1.0019,0.0300,0.9995,0.0300,1.0003,0.0300
395,9.0720,0.05000,4.8390,0.05000,1.0013,0.0300,0.9997,0.0300,1.0002,0.0300
