Depth (km), TNA (km s-1), SNA (km s-1)
38.0,4.400,4.800
50.0,4.350,4.790
75.0,4.320,4.775
100.0,4.290,4.775
125.0,4.290,4.775
150.0,4.320,4.775
175.0,4.350,4.710
200.0,4.390,4.630
225.0,4.430,4.640
250.0,4.470,4.670
275.0,4.510,4.695
300.0,4.570,4.720
325.0,4.630,4.740
350.0,4.680,4.755
375.0,4.730,4.765
405.0,4.780,4.780
406.0,5.000,5.000
425.0,5.050,5.050
450.0,5.090,5.090
475.0,5.140,5.140
500.0,5.190,5.190
525.0,5.240,5.240
550.0,5.290,5.290
575.0,5.345,5.345
600.0,5.395,5.395
625.0,5.445,5.445
659.0,5.500,5.500
660.0,5.910,5.910
675.0,5.980,5.980
700.0,6.050,6.050
725.0,6.130,6.130
750.0,6.200,6.200
775.0,6.220,6.220
800.0,6.240,6.240
825.0,6.260,6.260
850.0,6.275,6.275
875.0,6.290,6.290
900.0,6.305,6.305
925.0,6.320,6.320
950.0,6.335,6.335
975.0,6.350,6.350
1000.0,6.365,6.365
1025.0,6.385,6.385
1050.0,6.405,6.405

